DATE,CBBTCUSD,SP500,VIXCLS
23/05/2019,7881.98,3192.52,12.29
24/05/2019,7994.88,3191.14,12.58
25/05/2019,8067.41,3205.37,12.5
26/05/2019,8760.03,3221.22,12.51
27/05/2019,8783.25,3224.01,12.61
28/05/2019,8686.5,3223.38,12.67
29/05/2019,8660.5,.,.
30/05/2019,8273.57,3239.91,12.65
31/05/2019,8550.18,3240.02,13.43
01/06/2019,8558.01,3221.29,14.82
02/06/2019,8741.17,3230.78,13.78
03/06/2019,8015.01,.,.
04/06/2019,7688.26,3257.85,12.47
05/06/2019,7766.91,3234.85,14.02
06/06/2019,7812.15,3246.28,13.85
07/06/2019,7992.17,3237.18,13.79
08/06/2019,7938.64,3253.05,13.45
09/06/2019,7623.84,3274.7,12.54
10/06/2019,8046.13,3265.35,12.56
11/06/2019,7918.2,3288.13,12.32
12/06/2019,8169.01,3283.15,12.39
13/06/2019,8256,3289.29,12.42
14/06/2019,8693.98,3316.81,12.32
15/06/2019,8861.33,3329.62,12.1
16/06/2019,8996.95,.,.
17/06/2019,9346.47,3320.79,12.85
18/06/2019,9089.99,3321.75,12.91
19/06/2019,9283.99,3325.54,12.98
20/06/2019,9542.6,3295.47,14.56
21/06/2019,10175.88,3243.63,18.23
22/06/2019,10658.3,3276.24,16.28
23/06/2019,10808.53,3273.4,16.39
24/06/2019,11040.03,3283.66,15.49
25/06/2019,11736.99,3225.52,18.84
26/06/2019,12902.52,3248.92,17.97
27/06/2019,11127.4,3297.59,16.05
28/06/2019,12317.73,3334.69,15.15
29/06/2019,11913.73,3345.78,14.96
30/06/2019,10778.74,3327.71,15.47
01/07/2019,10570.62,3352.09,15.04
02/07/2019,10885.01,3357.75,15.18
03/07/2019,12022.61,3379.45,13.74
04/07/2019,11130.95,3373.94,14.15
05/07/2019,11038.61,3380.16,13.68
06/07/2019,11187.8,.,.
07/07/2019,11478.9,3370.29,14.83
08/07/2019,12298.31,3386.15,14.38
09/07/2019,12559.46,3373.23,15.56
10/07/2019,12083.13,3337.75,17.08
11/07/2019,11323.95,3225.89,25.03
12/07/2019,11811.99,3128.21,27.85
13/07/2019,11408.1,3116.39,27.56
14/07/2019,10190.36,2978.76,39.16
15/07/2019,10855.56,2954.22,40.11
16/07/2019,9436,3090.23,33.42
17/07/2019,9708.55,3003.37,36.82
18/07/2019,10654.25,3130.12,31.99
19/07/2019,10548.04,3023.94,39.62
20/07/2019,10754.92,2972.37,41.94
21/07/2019,10633.54,2746.56,54.46
22/07/2019,10304.64,2882.23,47.3
23/07/2019,9833.19,2741.38,53.9
24/07/2019,9751.24,2480.64,75.47
25/07/2019,9880.67,2711.02,57.83
26/07/2019,9841.96,2386.13,82.69
27/07/2019,9468.92,2529.19,75.91
28/07/2019,9549.7,2398.1,76.45
29/07/2019,9503.32,2409.39,72
30/07/2019,9580,2304.92,66.04
31/07/2019,10099,2237.4,61.59
01/08/2019,10417.24,2447.33,61.67
02/08/2019,10533.07,2475.56,63.95
03/08/2019,10820.75,2630.07,61
04/08/2019,10997.82,2541.47,65.54
05/08/2019,11775.14,2626.65,57.08
06/08/2019,11440.08,2584.59,53.54
07/08/2019,12014.41,2470.5,57.06
08/08/2019,12017.89,2526.9,50.91
09/08/2019,11889,2488.65,46.8
10/08/2019,11283.82,2663.68,45.24
11/08/2019,11531.95,2659.41,46.7
12/08/2019,11387.38,2749.98,43.35
13/08/2019,10855.58,2789.82,41.67
14/08/2019,10105.34,.,.
15/08/2019,10280.96,2761.63,41.17
16/08/2019,10368.83,2846.06,37.76
17/08/2019,10218.37,2783.36,40.84
18/08/2019,10309.04,2799.55,40.11
19/08/2019,10935.67,2874.56,38.15
20/08/2019,10770.99,2823.16,43.83
21/08/2019,10137.75,2736.56,45.41
22/08/2019,10088.89,2799.31,41.98
23/08/2019,10415.01,2797.8,41.38
24/08/2019,10156,2836.74,35.93
25/08/2019,10148.5,2878.48,33.29
26/08/2019,10373.75,2863.39,33.57
27/08/2019,10170.16,2939.51,31.23
28/08/2019,9710.38,2912.43,34.15
29/08/2019,9525,2830.71,37.19
30/08/2019,9580.6,2842.74,35.97
31/08/2019,9593.95,2868.44,33.61
01/09/2019,9769.64,2848.42,34.12
02/09/2019,10405.05,2881.19,31.44
03/09/2019,10628.46,2929.8,27.98
04/09/2019,10585.67,2930.32,27.57
05/09/2019,10574.27,2870.12,33.04
06/09/2019,10318.8,2820,35.28
07/09/2019,10484.87,2852.5,32.61
08/09/2019,10395.17,2863.7,31.89
09/09/2019,10310.01,2953.91,29.3
10/09/2019,10090.01,2922.94,30.53
11/09/2019,10169.49,2971.61,27.99
12/09/2019,10437.19,2948.51,29.53
13/09/2019,10381.91,2955.45,28.16
14/09/2019,10360.2,.,.
15/09/2019,10306.65,2991.77,28.01
16/09/2019,10268.77,3036.13,27.62
17/09/2019,10185.14,3029.73,28.59
18/09/2019,10155.26,3044.31,27.51
19/09/2019,10304.94,3055.73,28.23
20/09/2019,10168.44,3080.82,26.84
21/09/2019,9982.39,3122.87,25.66
22/09/2019,10035,3112.35,25.81
23/09/2019,9683.89,3193.93,24.52
24/09/2019,8556.43,3232.39,25.81
25/09/2019,8446.57,3207.18,27.57
26/09/2019,8063,3190.14,27.57
27/09/2019,8193.98,3002.1,40.79
28/09/2019,8228.22,3041.31,36.09
29/09/2019,8063.06,3066.59,34.4
30/09/2019,8305.14,3124.74,33.67
01/10/2019,8323.43,3113.49,33.47
02/10/2019,8396,3115.34,32.94
03/10/2019,8241.25,3097.74,35.12
