Date,open,high,low,close,volume 
11/03/2014,130.0099945,130.1499939,128.9299927,129.8600006,7289800
12/03/2014,131.5599976,132.1199951,131.3899994,131.7599945,11094200
13/03/2014,131.6900024,132.5399933,131.5599976,132.2100067,8007700
14/03/2014,133.6799927,133.6900024,132.3500061,133.1000061,11939600
17/03/2014,132.7299957,133.2200012,131.2200012,131.6399994,14626800
18/03/2014,130.3899994,131.2700043,130.3300018,130.6199951,6424400
19/03/2014,129.5500031,129.6799927,127.9400024,128.0899963,12932900
20/03/2014,127.7799988,128.4100037,127.5800018,127.8600006,7690800
21/03/2014,129.0399933,129.0899963,128.4100037,128.4700012,7237300
24/03/2014,126.8700027,127.1399994,126.0299988,126.1800003,13076500
25/03/2014,126.4400024,126.8199997,126.2399979,126.4100037,6566900
26/03/2014,126.2699966,126.3799973,125.1299973,125.4100037,8575400
27/03/2014,125.0599976,125.2900009,124.2099991,124.5899963,7312300
28/03/2014,124.2300034,124.9599991,123.8799973,124.5599976,7253700
31/03/2014,124.5199966,124.7900009,123.5699997,123.6100006,12379200
01/04/2014,123.7099991,123.8499985,123.1100006,123.3899994,5992000
02/04/2014,124.4100037,124.75,124.1900024,124.3199997,4907800
03/04/2014,123.75,124.2600021,123.5899963,123.9199982,3658800
04/04/2014,125.1999969,125.9599991,124.8600006,125.5699997,7278400
07/04/2014,125.0699997,125.4700012,124.8399963,124.9100037,3967200
08/04/2014,126.3399963,126.3399963,125.9000015,126.0899963,6939100
09/04/2014,125.4599991,126.7200012,125.3300018,126.3199997,5305600
10/04/2014,126.9499969,127.3700027,126.8199997,127.0100021,5003200
11/04/2014,127.0400009,127.3099976,126.7300034,126.9300003,4697200
14/04/2014,127.8000031,128.25,127.6200027,127.8499985,6677400
15/04/2014,124.7900009,125.6999969,124.5999985,125.4899979,9967600
16/04/2014,125.3700027,125.5699997,125.0299988,125.5400009,4071300
17/04/2014,125.3799973,125.5299988,124.5699997,124.75,5901900
21/04/2014,124.0699997,124.3300018,123.7600021,124.2399979,6579200
22/04/2014,124.1500015,124.1600037,122.9199982,123.7799988,6898100
23/04/2014,123.6999969,123.9400024,123.3799973,123.7600021,3736600
24/04/2014,122.8700027,125.1200027,122.8399963,124.5599976,8754200
25/04/2014,125.1699982,125.7099991,125.0699997,125.4300003,7023700
28/04/2014,125.3000031,125.3399963,124.4499969,124.8799973,4897900
29/04/2014,124.9499969,125.3799973,124.6500015,124.8600006,5241600
30/04/2014,124.1900024,125.0500031,123.8199997,124.2200012,10352900
01/05/2014,123.1699982,123.8300018,123.0599976,123.8000031,6687300
02/05/2014,123.6900024,125.6699982,123.3300018,125.0599976,9912900
05/05/2014,126.4700012,126.6299973,126,126.2200012,5196500
06/05/2014,126.0199966,126.1100006,125.6299973,125.9800034,3488000
07/05/2014,125.5199966,125.5699997,123.9199982,124.1699982,8469900
08/05/2014,124.1900024,124.4700012,123.8899994,124.1699982,3695500
09/05/2014,124.3899994,124.4700012,123.8199997,124.0999985,3120000
12/05/2014,125.4000015,125.4199982,124.6900024,124.9400024,4025500
13/05/2014,124.7900009,125.0999985,124.5,124.5999985,2643500
14/05/2014,125.8000031,125.9599991,125.4400024,125.8099976,4015900
15/05/2014,124.7699966,125.5100021,124.5400009,124.7699966,5861100
16/05/2014,124.3499985,124.7699966,124.2900009,124.5,4052100
19/05/2014,125.2799988,125.4700012,124.4800034,124.5800018,3902600
20/05/2014,124.1200027,124.9100037,124.0899963,124.6900024,3770800
21/05/2014,124.25,124.5500031,123.5299988,124.3899994,6846500
22/05/2014,125.1399994,125.2399979,124.5400009,124.6699982,3458800
23/05/2014,124.5999985,124.6600037,124.1900024,124.5100021,2205900
27/05/2014,122.9800034,123.0699997,121.75,121.8499985,10895800
28/05/2014,121.4700012,121.6999969,120.9199982,121.1999969,6736800
29/05/2014,120.7799988,121.4599991,120.7699966,120.9400024,5551900
30/05/2014,120.7600021,120.8099976,119.6200027,120.4300003,8749600
02/06/2014,119.9300003,120.4599991,119.6100006,119.6999969,5916100
03/06/2014,119.7300034,120.0899963,119.4199982,120.0100021,5008300
04/06/2014,120.0999985,120.1600037,119.6800003,119.7600021,3859500
05/06/2014,120.5500031,120.8799973,120.4300003,120.6600037,4180400
06/06/2014,120.6800003,120.7699966,119.9400024,120.6100006,4807700
09/06/2014,120.7900009,120.8499985,120.5699997,120.6500015,2788000
10/06/2014,121.2900009,121.4700012,121.2099991,121.3899994,3556600
